Name,Longitude,Latitude,AddressRegion,AddressLocality,AddressCountry,Tags
Edmondstown Golf Club,-6.291833,53.2737445,Dublin,Rathfarnham,Republic of Ireland,Golf
Corballis Links Golf Club,-6.125379,53.4704142,Dublin,Donabate,Republic of Ireland,Golf
Deer Park Golf Course,-6.0771349,53.380791,Dublin,Howth,Republic of Ireland,Golf
Howth Golf Club,-6.0891596,53.3753235,Dublin,Howth,Republic of Ireland,Golf
Malahide Golf Club,-6.1431652,53.4316557,Dublin,Malahide,Republic of Ireland,Golf
Calliaghstown Equestrian Centre,-6.5061647,53.2496301,Dublin,Rathcoole,Republic of Ireland,"Horse Riding,Equestrian"
Portmarnock Golf Club,-6.1238479,53.407192,Dublin,Portmarnock,Republic of Ireland,Golf
Sandymount Strand,-6.2059775,53.3234935,Dublin,Sandymount,Republic of Ireland,Beach
Rush Golf Club,-6.1041357,53.5136291,Dublin,Rush,Republic of Ireland,Golf
Merrion Square,-6.2520285,53.3397758,Dublin,Dublin City,Republic of Ireland,"Gardens,Garden"
An Taiin Arts Centre,-6.4005904,54.0045404,Louth,Dundalk,Republic of Ireland,"Learning,Art Gallery,Venue,Comedy,Traditionally Irish"
Solas Eco Garden Centre,-7.1690203,53.1517969,Laois,Portarlington,Republic of Ireland,"Gardening,Nature and Wildlife,Learning,Gardens,Garden,Shopping,Cafe,Food and Drink,Local Produce,Restaurant,Activity Operator,Food Shops"
Mermaid Arts Centre,-6.1091273,53.201532,Wicklow,Bray,Republic of Ireland,"Learning,Movies,Cinema,Venue,Art Gallery,Comedy,Music,Cafe,Food and Drink"
Rascals Brewing Company,-6.3240651,53.3361014,Dublin,Inchicore,Republic of Ireland,"Food and Drink,Restaurant,Museums and Attraction,Pubs and Bar"
National Gallery of Ireland,-6.2525147,53.3409266,Dublin,Dublin City,Republic of Ireland,Art Gallery
Theatre Royal,-7.107075,52.259856,Waterford,Waterford City,Republic of Ireland,"Movies,Cinema,Venue,Comedy,Food and Drink,Pubs and Bar,Tour"
Phoenix Park,-6.315418378,53.35573785,Dublin,Dublin City,Republic of Ireland,"Public Park,Nature and Wildlife"
St Annes Park and Rose Gardens,-6.17541,53.3693,Dublin,Dublin City,Republic of Ireland,"Gardens,Garden"
Poolbeg Lighthouse,-6.1513245,53.3421053,Dublin,Dublin City,Republic of Ireland,Walking
HowthBoats,-6.0707099,53.3910725,Dublin,Howth,Republic of Ireland,"Fishing,Angling,Activity Operator,Boat,Tour"
Foxrock Golf Club,-6.1843137,53.2724546,Dublin,Foxrock,Republic of Ireland,Golf
Warren Beach,-9.01191,51.56618,Cork,Rosscarbery,Republic of Ireland,"Swimming,Swimming Pools and Water Park,Venue,Beach"
Seapoint,-6.1593896,53.2974482,Dublin,Seapoint,Republic of Ireland,Beach
Portmarnock Velvet Strand Beach,-6.1182288,53.4158556,Dublin,Portmarnock,Republic of Ireland,"Swimming,Swimming Pools and Water Park,Venue,Beach"
Nenagh Golf Club,-8.129713,52.9032206,Tipperary,Nenagh,Republic of Ireland,"Golf Course,Golf"
Ballina Golf Club,-9.1337642,54.1081771,Mayo,Ballina,Republic of Ireland,"Golf Course,Golf,Activity Operator"
Berehaven Golf Club,-9.8605084,51.6541411,Cork,Castletownbere,Republic of Ireland,"Golf Course,Golf"
Loughrea Lake,-8.576466033,53.18893477,Galway,Loughrea,Republic of Ireland,"Bird Watching,Nature and Wildlife,Fishing,Angling,Swimming,Swimming Pools and Water Park,Venue,Beach"
Bathing Place at Portumna,-8.2110061,53.0835342,Galway,Portumna,Republic of Ireland,"Swimming,Swimming Pools and Water Park,Venue,Beach"
Mountshannon Lough Derg,-8.429794691,52.93220509,Clare,Mountshannon,Republic of Ireland,"Fishing,Angling,Kitesurfing,Windsurfing,Activity Operator,Swimming,Swimming Pools and Water Park,Venue,Beach"
Ballycuggeran,-8.4660082,52.8341047,Clare,Killaloe,Republic of Ireland,"Fishing,Angling,Sailing,Activity Operator,Swimming,Swimming Pools and Water Park,Venue,Beach"
Go Fishing Ireland ,-6.7067235,53.6169836,Meath,Navan,Republic of Ireland,"Fishing,Angling,Activity Operator"
Royal Hospital Kilmainham,-6.3000729,53.343264,Dublin,Kilmainham,Republic of Ireland,
Shelling HillTempletown ,-6.1534395,53.9795749,Louth,Carlingford,Republic of Ireland,"Kitesurfing,Windsurfing,Activity Operator,Photography,Learning,Surfing,Swimming,Swimming Pools and Water Park,Venue,Walking,Beach,Sports Venues"
Port Lurganboy,-6.2584435,53.8327504,Louth,Clogherhead,Republic of Ireland,"Photography,Learning,Swimming,Swimming Pools and Water Park,Venue,Walking,Beach,Sports Venues"
The Comedy Club  City Limits,-8.4708513,51.9018756,Cork,Cork City,Republic of Ireland,"Venue,Comedy,Food and Drink,Pubs and Bar"
Carne ,-6.3503629,52.1987362,Wexford,Rosslare,Republic of Ireland,"Swimming,Swimming Pools and Water Park,Venue,Walking,Beach"
