STATISTIC,Statistic Label,TLIST(A1),Academic Year,C02352V02829,Level of Education,UNIT,VALUE
EDA37,Enrolments of Full-Time Students,2009,2008-2009,23,Second level,Number,307944
EDA37,Enrolments of Full-Time Students,2009,2008-2009,4,Third level,Number,146068
EDA37,Enrolments of Full-Time Students,2009,2008-2009,X45,Post leaving certificate courses (VPT2),Number,33368
EDA37,Enrolments of Full-Time Students,2010,2009-2010,-,All levels of education,Number,1013658
EDA37,Enrolments of Full-Time Students,2010,2009-2010,104,First level,Number,505998
EDA37,Enrolments of Full-Time Students,2010,2009-2010,23,Second level,Number,312159
EDA37,Enrolments of Full-Time Students,2010,2009-2010,4,Third level,Number,156973
EDA37,Enrolments of Full-Time Students,2010,2009-2010,X45,Post leaving certificate courses (VPT2),Number,38528
EDA37,Enrolments of Full-Time Students,2011,2010-2011,-,All levels of education,Number,1027406
EDA37,Enrolments of Full-Time Students,2011,2010-2011,104,First level,Number,509652
EDA37,Enrolments of Full-Time Students,2011,2010-2011,23,Second level,Number,317427
EDA37,Enrolments of Full-Time Students,2011,2010-2011,4,Third level,Number,161647
EDA37,Enrolments of Full-Time Students,2011,2010-2011,X45,Post leaving certificate courses (VPT2),Number,38680
EDA37,Enrolments of Full-Time Students,2012,2011-2012,-,All levels of education,Number,1038573
EDA37,Enrolments of Full-Time Students,2012,2011-2012,104,First level,Number,516458
EDA37,Enrolments of Full-Time Students,2012,2011-2012,23,Second level,Number,322519
EDA37,Enrolments of Full-Time Students,2012,2011-2012,4,Third level,Number,163068
EDA37,Enrolments of Full-Time Students,2012,2011-2012,X45,Post leaving certificate courses (VPT2),Number,36528
EDA37,Enrolments of Full-Time Students,2013,2012-2013,-,All levels of education,Number,1054132
EDA37,Enrolments of Full-Time Students,2013,2012-2013,104,First level,Number,526422
EDA37,Enrolments of Full-Time Students,2013,2012-2013,23,Second level,Number,327323
EDA37,Enrolments of Full-Time Students,2013,2012-2013,4,Third level,Number,164863
